"idVotacao";"uriVotacao";"data";"descricao";"proposicao_id";"proposicao_uri";"proposicao_titulo";"proposicao_ementa";"proposicao_codTipo";"proposicao_siglaTipo";"proposicao_numero";"proposicao_ano"
"2017317-100";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2017317-100";"2024-06-19";"Aprovado o Parecer.";"2017317";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2017317";"PL 3275/2015";"Altera a Lei nº 10.098, de 19 de dezembro de 2000, para estabelecer reserva de vagas em estacionamentos públicos para mulheres a partir do sexto mês de gestação e até 30 (trinta) dias após o parto.";"139";"PL";"3275";"2015"
"2023749-51";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2023749-51";"2024-05-28";"Aprovado o Parecer.";"2023749";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2023749";"PL 3339/2015";"Aumenta a pena do crime de lesão corporal cometido nas dependências de estabelecimentos de ensino ou hospitalares.";"139";"PL";"3339";"2015"
"2024910-83";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2024910-83";"2024-06-25";"Aprovado o Parecer.";"2024910";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2024910";"PL 3416/2015";"Regulamenta a profissão de Arteterapeuta e dá outras providências.";"139";"PL";"3416";"2015"
"2052992-61";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2052992-61";"2024-06-19";"Aprovado o Parecer.";"2052992";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2052992";"PLP 187/2015";"Autoriza a dedução dos valores aplicados em ações de erradicação do trabalho infantil pelos Estados dos compromissos mensais com as respectivas dívidas com a União.";"140";"PLP";"187";"2015"
"2055642-74";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2055642-74";"2024-04-17";"Aprovado o Parecer.";"2055642";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2055642";"PL 3659/2015";"Altera a Taxa de Controle e Fiscalização Ambiental - TCFA de que trata a Lei nº 6.938, de 31 de agosto de 1981.";"139";"PL";"3659";"2015"
"2075025-88";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2075025-88";"2024-05-15";"Aprovado o Parecer, com subemenda de Relatora apresentada no plenário da comissão.";"2075025";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2075025";"PL 4028/2015";"Institui a política nacional de assistência à saúde do estudante na rede pública de ensino.";"139";"PL";"4028";"2015"
"2075456-81";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2075456-81";"2024-03-19";"Aprovada a Redação Final.";"2075456";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2075456";"PL 4072/2015";"Denomina Campus Universitário Governador Luiz Henrique o campus da Universidade Federal de Santa Catarina situado no Município de Joinville, no Estado de Santa Catarina.";"139";"PL";"4072";"2015"
"2076230-16";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2076230-16";"2024-05-08";"Aprovado o Parecer.";"2076230";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2076230";"SUG 48/2015 CLP";"Sugere à Comissão de Legislação Participativa a realização de Audiência Pública para tratar sobre o processo de Concessão do Registro Sindical realizado pelo Ministério do Trabalho e Emprego.";"285";"SUG";"48";"2015"
"2076623-79";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2076623-79";"2024-05-28";"Aprovado o Parecer.";"2076623";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2076623";"PL 4272/2016";"Altera a Lei 8.501, de 30 de novembro de 1992.";"139";"PL";"4272";"2016"
"2076875-108";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2076875-108";"2024-05-22";"Aprovado o Parecer com o seguinte resultado:  11 votos ""Sim"", 4 votos ""Não"". Quórum de votação: 15 votos.";"2076875";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2076875";"PL 2098/2019 (Nº Anterior: PL 4333/2016)";"Acrescenta incisos ao art. 1º da Lei nº 8.313, de 23 de dezembro de 1991, para explicitar, entre as finalidades do Programa Nacional de Apoio à Cultura - Pronac, o apoio às culturas indígenas, afro-brasileiras e de minorias e a distribuição equilibrada de recursos entre as manifestações culturais, priorizando as tradicionais de origem local, raízes da cultura brasileira.";"139";"PL";"2098";"2019"
"2077165-56";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2077165-56";"2024-06-12";"Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 1814/2024.";"2077165";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2077165";"PL 4372/2016";"Altera e acrescenta dispositivo à Lei 12.850, de 2 de agosto de 2013 que ""Define organização criminosa e dispõe sobre a investigação criminal, os meios de obtenção da prova, infrações penais correlatas e o procedimento criminal; altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal); revoga a Lei nº 9.034, de 3 de maio de 1995; e dá outras providências"".";"139";"PL";"4372";"2016"
"2077448-103";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2077448-103";"2024-03-19";"Aprovado o Parecer.";"2077448";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2077448";"PL 4423/2016";"Acresce o Art. nº 15-A à Lei 8.666 de 1993 que regulamenta o art. 37, inciso XXI, da Constituição Federal, institui normas para licitações e contratos da Administração Pública e dá outras providências.";"139";"PL";"4423";"2016"
"2078134-75";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2078134-75";"2024-03-19";"Aprovada a Redação Final.";"2078134";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2078134";"PL 4546/2016";"Denomina ""Viaduto Deputado José Pereira da Silva"" o viaduto localizado na rodovia BR-459, km 102, no trecho que corta o perímetro urbano do Município de Pouso Alegre, no Estado de Minas Gerais.";"139";"PL";"4546";"2016"
"2078309-48";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2078309-48";"2024-04-17";"Aprovado o Parecer.";"2078309";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2078309";"PL 4568/2016";"Denomina a cidade de Imperatriz, no Estado do Maranhão, Capital da Região Tocantina Maranhense.";"139";"PL";"4568";"2016"
"2079085-21";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2079085-21";"2024-02-20";"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.";"2079085";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2079085";"PL 4676/2016";"Dispõe sobre a obrigatoriedade de todo estabelecimento público de saúde a afixar diariamente a escala de médicos em local visível e acessível ao público.";"139";"PL";"4676";"2016"
"2079477-63";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2079477-63";"2024-04-17";"Rejeitado o Requerimento de Retirada de Pauta. Resultado: 37 votos ""Não"". Quórum de votação: 37 votos e 5 Obstruções.";"2079477";"https://dadosabertos.camara.leg.br/api/v2/proposicoes/2079477";"PL 4720/2016";"Altera a Lei nº 10.823, de 19 de dezembro de 2003, que dispõe sobre a subvenção econômica ao prêmio do Seguro Rural.";"139";"PL";"4720";"2016"
